Gene_ID,Gene,Immature_Ery
ENSGALG00010000790.1,MARCHF6,102
ENSGALG00010000791.1,ACOD1,1
ENSGALG00010000792.1,ENSGALG00010000792.1,0
ENSGALG00010000793.1,ENSGALG00010000793.1,0
ENSGALG00010000794.1,ENSGALG00010000794.1,2
ENSGALG00010000795.1,ENSGALG00010000795.1,0
ENSGALG00010000796.1,ENSGALG00010000796.1,0
ENSGALG00010000797.1,ENSGALG00010000797.1,0
ENSGALG00010000798.1,ENSGALG00010000798.1,0
ENSGALG00010000799.1,ENSGALG00010000799.1,0
ENSGALG00010000800.1,LMO7,0
ENSGALG00010000801.1,ENSGALG00010000801.1,0
ENSGALG00010000802.1,SEMA5A,1
ENSGALG00010000803.1,MTRR,4
ENSGALG00010000804.1,ENSGALG00010000804.1,5
ENSGALG00010000805.1,FASTKD3,0
ENSGALG00010000806.1,CFAP90,2
ENSGALG00010000807.1,ENSGALG00010000807.1,0
ENSGALG00010000808.1,ADCY2,3
ENSGALG00010000809.1,ENSGALG00010000809.1,0
ENSGALG00010000810.1,UCHL3,2
ENSGALG00010000811.1,ENSGALG00010000811.1,1
ENSGALG00010000812.1,ENSGALG00010000812.1,0
ENSGALG00010000813.1,ENSGALG00010000813.1,0
ENSGALG00010000814.1,CDH18,0
ENSGALG00010000815.1,ENSGALG00010000815.1,1
ENSGALG00010000816.1,TBC1D4,10
ENSGALG00010000817.1,ENSGALG00010000817.1,8
ENSGALG00010000818.1,KLF12,0
ENSGALG00010000819.1,ENSGALG00010000819.1,3
ENSGALG00010000820.1,KLF5,0
ENSGALG00010000821.1,ENSGALG00010000821.1,2
ENSGALG00010000822.1,BASP1,0
ENSGALG00010000823.1,PIBF1,2
ENSGALG00010000843.1,DIS3,7
ENSGALG00010000853.1,ENSGALG00010000853.1,0
ENSGALG00010000857.1,ENSGALG00010000857.1,2
ENSGALG00010000859.1,BORA,0
ENSGALG00010000863.1,ENSGALG00010000863.1,0
ENSGALG00010000864.1,MZT1,0
ENSGALG00010000870.1,DACH1,0
ENSGALG00010000876.1,KLHL1,0
ENSGALG00010000901.1,PCDH9,1
ENSGALG00010001066.1,SLC33A1,19
